Class,Spec,ItemName,Slot,Rank,Source,Website
warlock,demonology,Eye of the Night,neck,6,Jewelcrafting,wowtbc.gg
warlock,demonology,Pendant of Dominance,neck,7,PvP,wowtbc.gg
warlock,demonology,Natasha's Ember Necklace,neck,8,Quest - The Hound-Master,wowtbc.gg
warlock,demonology,Pauldrons of the Fallen Hero,shoulder,1,Gruul's Lair,wowtbc.gg
warlock,demonology,Gladiator's Dreadweave Mantle,shoulder,2,PvP,wowtbc.gg
warlock,demonology,Frozen Shadoweave Shoulders,shoulder,3,Tailoring,wowtbc.gg
warlock,demonology,High Warlord's Dreadweave Mantle,shoulder,4,PvP,wowtbc.gg
warlock,demonology,Mana-Etched Spaulders,shoulder,5,Slave Pens (HC),wowtbc.gg
warlock,demonology,Mantle of Three Terrors,shoulder,6,Black Morass,wowtbc.gg
warlock,demonology,Spaulders of Oblivion,shoulder,7,Shadow Labyrinth,wowtbc.gg
warlock,demonology,Spaulders of the Torn-heart,shoulder,8,Quest - The Cipher of Damnation - The Third Fragment Recovered,wowtbc.gg
warlock,demonology,Ruby Drape of the Mysticant,back,1,Karazhan,wowtbc.gg
warlock,demonology,Ancient Spellcloak of the Highborne,back,2,World Boss,wowtbc.gg
warlock,demonology,Cloak of the Necropolis,back,3,Naxxramas,wowtbc.gg
warlock,demonology,Brute Cloak of the Ogre-Magi,back,4,Gruul's Lair,wowtbc.gg
warlock,demonology,Sethekk Oracle Cloak,back,5,Sethekk Halls,wowtbc.gg
warlock,demonology,Cloak of the Devoured,back,6,Ahn'Qiraj,wowtbc.gg
warlock,demonology,Cloak of Entropy,back,7,Auction House,wowtbc.gg
warlock,demonology,Illidari Cloak of Shadow Wrath,back,8,Auction House,wowtbc.gg
warlock,demonology,Auchenai Anchorite's Robe,chest,1,Quest - Everything Will Be Alright,wowtbc.gg
warlock,demonology,Chestguard of the Fallen Hero,chest,2,Magtheridon's Lair,wowtbc.gg
warlock,demonology,Robe of the Crimson Order,chest,3,Auction House,wowtbc.gg
warlock,demonology,Frozen Shadoweave Robe,chest,4,Tailoring,wowtbc.gg
warlock,demonology,Warp Infused Drape,chest,5,Botanica,wowtbc.gg
warlock,demonology,Gladiator's Felweave Raiment,chest,6,PvP,wowtbc.gg
warlock,demonology,Mana-Etched Vestments,chest,7,Old Hillsbrad Foothills,wowtbc.gg
warlock,demonology,Will of Edward the Odd,chest,8,Auction House,wowtbc.gg
warlock,demonology,Ravager's Cuffs of Shadow Wrath,wrist,1,Karazhan,wowtbc.gg
warlock,demonology,Crimson Bracers of Gloom,wrist,2,Ramparts (HC),wowtbc.gg
warlock,demonology,General's Silk Cuffs,wrist,3,Honor & WSG Marks,wowtbc.gg
warlock,demonology,Bracers of Havok,wrist,4,Tailoring,wowtbc.gg
warlock,demonology,Elementalist Bracelets of Shadow Wrath,wrist,5,Auction House,wowtbc.gg
warlock,demonology,Rockfury Bracers,wrist,6,Rep - Cenarion Circle - Revered,wowtbc.gg
warlock,demonology,Bands of Nefarious Deeds,wrist,7,Karazhan,wowtbc.gg
warlock,demonology,Bracers of Arcane Accuracy,wrist,8,Blackwing Lair,wowtbc.gg
warlock,demonology,Anger-Spark Gloves,hands,1,World Boss,wowtbc.gg
warlock,demonology,Handwraps of Flowing Thought,hands,2,Karazhan,wowtbc.gg
warlock,demonology,Soul-Eater's Handwraps,hands,3,Magtheridon's Lair,wowtbc.gg
warlock,demonology,Manaspark Gloves,hands,4,Underbog,wowtbc.gg
warlock,demonology,Gloves of the Deadwatcher,hands,5,Auchenai Crypts (HC),wowtbc.gg
warlock,demonology,Gloves of Oblivion,hands,6,Shattered Halls,wowtbc.gg
warlock,demonology,Gloves of Pandemonium,hands,7,Auction House,wowtbc.gg
warlock,demonology,Mana-Etched Gloves,hands,8,Ramparts (HC),wowtbc.gg
warlock,demonology,Girdle of Ruination,waist,1,Tailoring,wowtbc.gg
warlock,demonology,Belt of Divine Inspiration,waist,2,Gruul's Lair,wowtbc.gg
warlock,demonology,Belt of Depravity,waist,3,Arcatraz (HC),wowtbc.gg
warlock,demonology,Lurker's Cord of Shadow Wrath,waist,4,Karazhan,wowtbc.gg
warlock,demonology,Glyph-Lined Sash,waist,5,Mana-Tombs (HC),wowtbc.gg
warlock,demonology,Sash of Serpentra,waist,6,Steamvaults,wowtbc.gg
warlock,demonology,Malefic Girdle,waist,7,Karazhan,wowtbc.gg
warlock,demonology,A'dal's Gift,waist,8,Quest - How to Break Into the Arcatraz,wowtbc.gg
warlock,demonology,Leggings of the Seventh Circle,legs,1,World Boss,wowtbc.gg
warlock,demonology,Spellstrike Pants,legs,2,Tailoring,wowtbc.gg
warlock,demonology,Leggings of the Fallen Hero,legs,3,Gruul's Lair,wowtbc.gg
warlock,demonology,Trial-Fire Trousers,legs,4,Karazhan,wowtbc.gg
warlock,demonology,Breeches of the Occultist,legs,5,Black Morass (HC),wowtbc.gg
warlock,demonology,Aran's Sorcerous Slacks,legs,6,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,demonology,Kirin Tor Master's Trousers,legs,7,Shadow Labyrinth (HC),wowtbc.gg
warlock,demonology,Gilded Trousers of Benediction,legs,8,World Boss,wowtbc.gg
warlock,demonology,Frozen Shadoweave Boots,feet,1,Tailoring,wowtbc.gg
warlock,demonology,Ruby Slippers,feet,2,Karazhan,wowtbc.gg
warlock,demonology,Boots of Foretelling,feet,3,Karazhan,wowtbc.gg
warlock,demonology,Extravagant Boots of Malice,feet,4,Mana-Tombs (HC),wowtbc.gg
warlock,demonology,Sigil-Laced Boots,feet,5,Arcatraz,wowtbc.gg
warlock,demonology,Shimmering Azure Boots,feet,6,Quest - Securing the Celestial Ridge,wowtbc.gg
warlock,demonology,Shattrath Jumpers,feet,7,Quest - Into the Heart of the Labyrinth,wowtbc.gg
warlock,demonology,Boots of the Nexus Warden,feet,8,Quest - The Flesh Lies...,wowtbc.gg
warlock,demonology,Band of Crimson Fury,finger,1,Quest - The Fall of Magtheridon,wowtbc.gg
warlock,demonology,Ashyen's Gift,finger,2,Rep - Cenarion Expedition - Exalted,wowtbc.gg
warlock,demonology,Sparking Arcanite Ring,finger,3,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,demonology,Ring of the Fallen God,finger,4,Quest - The Savior of Kalimdor,wowtbc.gg
warlock,demonology,Ring of Recurrence,finger,5,Karazhan,wowtbc.gg
warlock,demonology,Violet Signet of the Archmage,finger,6,Rep - The Violet Eye - Exalted,wowtbc.gg
warlock,demonology,Band of the Inevitable,finger,7,Naxxramas,wowtbc.gg
warlock,demonology,Seal of the Exorcist,finger,8,Spirit Shards (50),wowtbc.gg
warlock,demonology,Ring of Cryptic Dreams,finger,9,Badge of Justice (25),wowtbc.gg
warlock,demonology,Scryer's Bloodgem,trinket,1,Rep - The Scryers - Revered,wowtbc.gg
warlock,demonology,Quagmirran's Eye,trinket,2,Slave Pens (HC),wowtbc.gg
warlock,demonology,Arcanist's Stone,trinket,3,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,demonology,Icon of the Silver Crescent,trinket,4,Badge of Justice (41),wowtbc.gg
warlock,demonology,Neltharion's Tear,trinket,5,Blackwing Lair,wowtbc.gg
warlock,demonology,Eye of Magtheridon,trinket,6,Magtheridon's Lair,wowtbc.gg
warlock,demonology,Starkiller's Bauble,trinket,7,Quest - The Horrors of Pollution,wowtbc.gg
warlock,demonology,The Restrained Essence of Sapphiron,trinket,8,Naxxramas,wowtbc.gg
warlock,demonology,Shiffar's Nexus-Horn,trinket,9,Arcatraz,wowtbc.gg
warlock,demonology,Talon of the Tempest,weapon,1,World Boss,wowtbc.gg
warlock,demonology,Bloodmaw Magus-Blade,weapon,2,Gruul's Lair,wowtbc.gg
warlock,demonology,Nathrezim Mindblade,weapon,3,Karazhan,wowtbc.gg
warlock,demonology,Gladiator's Spellblade,weapon,4,PvP,wowtbc.gg
warlock,demonology,Eternium Runed Blade,weapon,5,Blacksmithing,wowtbc.gg
warlock,demonology,Stormcaller,weapon,6,Rep - Thrallmar - Exalted (H),wowtbc.gg
warlock,demonology,Staff of Infinite Mysteries,weapon,7,Karazhan,wowtbc.gg
warlock,demonology,Blade of Wizardry,weapon,8,Auction House,wowtbc.gg
warlock,demonology,Jewel of Infinite Possibilities,off hand,1,Karazhan,wowtbc.gg
warlock,demonology,Lamp of Peaceful Radiance,off hand,2,Arcatraz,wowtbc.gg
warlock,demonology,Sapphiron's Left Eye,off hand,3,Naxxramas,wowtbc.gg
warlock,demonology,Khadgar's Knapsack,off hand,4,Badge of Justice (25),wowtbc.gg
warlock,demonology,Orb of the Soul-Eater,off hand,5,Badge of Justice (25),wowtbc.gg
warlock,demonology,Star-Heart Lamp,off hand,6,Black Morass,wowtbc.gg
warlock,demonology,Talisman of Nightbane,off hand,7,Karazhan,wowtbc.gg
warlock,demonology,Royal Scepter of Vek'lor,off hand,8,Ahn'Qiraj,wowtbc.gg
warlock,demonology,Tirisfal Wand of Ascendancy,ranged,1,Karazhan,wowtbc.gg
warlock,demonology,Nether Core's Control Rod,ranged,2,Arcatraz,wowtbc.gg
warlock,demonology,Eredar Wand of Obliteration,ranged,3,Magtheridon's Lair,wowtbc.gg
warlock,demonology,Wand of Fates,ranged,4,Naxxramas,wowtbc.gg
warlock,demonology,The Black Stalk,ranged,5,Underbog (HC),wowtbc.gg
warlock,demonology,Voidfire Wand,ranged,6,Mana-Tombs,wowtbc.gg
warlock,demonology,Doomfinger,ranged,7,Naxxramas,wowtbc.gg
warlock,demonology,Flawless Wand of Shadow Wrath,ranged,8,Auction House,wowtbc.gg
warlock,destruction fire,Helm of the Fallen Hero,head,1,Karazhan,wowtbc.gg
warlock,destruction fire,Mana-Binders Cowl,head,2,Badge of Justice (50),wowtbc.gg
warlock,destruction fire,Spellstrike Hood,head,3,Tailoring,wowtbc.gg
warlock,destruction fire,Incanter's Cowl,head,4,Mechanar,wowtbc.gg
warlock,destruction fire,Hood of Oblivion,head,5,Arcatraz,wowtbc.gg
warlock,destruction fire,Hydromancer's Headwrap,head,6,Quest - The Warlord's Hideout,wowtbc.gg
warlock,destruction fire,Mana-Etched Crown,head,7,Black Morass,wowtbc.gg
warlock,destruction fire,Uni-Mind Headdress,head,8,Karazhan,wowtbc.gg
warlock,destruction fire,Brooch of Unquenchable Fury,neck,1,Karazhan,wowtbc.gg
warlock,destruction fire,Adornment of Stolen Souls,neck,2,Karazhan,wowtbc.gg
warlock,destruction fire,Brooch of Heightened Potential,neck,3,Shadow Labyrinth,wowtbc.gg
warlock,destruction fire,Hydra-fang Necklace,neck,4,Underbog (HC),wowtbc.gg
warlock,destruction fire,Natasha's Ember Necklace,neck,5,Quest - The Hound-Master,wowtbc.gg
warlock,destruction fire,Torc of the Sethekk Prophet,neck,6,Quest - Brother Against Brother,wowtbc.gg
warlock,destruction fire,Eye of the Night,neck,7,Jewelcrafting,wowtbc.gg
warlock,destruction fire,Pendant of Dominance,neck,8,PvP,wowtbc.gg
warlock,destruction fire,Pauldrons of the Fallen Hero,shoulder,1,Gruul's Lair,wowtbc.gg
warlock,destruction fire,Gladiator's Dreadweave Mantle,shoulder,2,PvP,wowtbc.gg
warlock,destruction fire,High Warlord's Dreadweave Mantle,shoulder,3,PvP,wowtbc.gg
warlock,destruction fire,Mana-Etched Spaulders,shoulder,4,Slave Pens (HC),wowtbc.gg
warlock,destruction fire,Spaulders of Oblivion,shoulder,5,Shadow Labyrinth,wowtbc.gg
warlock,destruction fire,Mantle of Three Terrors,shoulder,6,Black Morass,wowtbc.gg
warlock,destruction fire,Spaulders of the Torn-heart,shoulder,7,Quest - The Cipher of Damnation - The Third Fragment Recovered,wowtbc.gg
warlock,destruction fire,Mantle of the Mind Flayer,shoulder,8,Karazhan,wowtbc.gg
warlock,destruction fire,Ruby Drape of the Mysticant,back,1,Karazhan,wowtbc.gg
warlock,destruction fire,Ancient Spellcloak of the Highborne,back,2,World Boss,wowtbc.gg
warlock,destruction fire,Brute Cloak of the Ogre-Magi,back,3,Gruul's Lair,wowtbc.gg
warlock,destruction fire,Cloak of the Necropolis,back,4,Naxxramas,wowtbc.gg
warlock,destruction fire,Sethekk Oracle Cloak,back,5,Sethekk Halls,wowtbc.gg
warlock,destruction fire,Cloak of the Devoured,back,6,Ahn'Qiraj,wowtbc.gg
warlock,destruction fire,Cloak of Entropy,back,7,Auction House,wowtbc.gg
warlock,destruction fire,Shawl of Shifting Probabilities,back,8,Badge of Justice (25),wowtbc.gg
warlock,destruction fire,Spellfire Robe,chest,1,Tailoring,wowtbc.gg
warlock,destruction fire,Chestguard of the Fallen Hero,chest,2,Magtheridon's Lair,wowtbc.gg
warlock,destruction fire,Auchenai Anchorite's Robe,chest,3,Quest - Everything Will Be Alright,wowtbc.gg
warlock,destruction fire,Robe of the Crimson Order,chest,4,Auction House,wowtbc.gg
warlock,destruction fire,Warp Infused Drape,chest,5,Botanica,wowtbc.gg
warlock,destruction fire,Gladiator's Felweave Raiment,chest,6,PvP,wowtbc.gg
warlock,destruction fire,Will of Edward the Odd,chest,7,Auction House,wowtbc.gg
warlock,destruction fire,Mana-Etched Vestments,chest,8,Old Hillsbrad Foothills,wowtbc.gg
warlock,destruction fire,Crimson Bracers of Gloom,wrist,1,Ramparts (HC),wowtbc.gg
warlock,destruction fire,General's Silk Cuffs,wrist,2,Honor & WSG Marks,wowtbc.gg
warlock,destruction fire,Bracers of Havok,wrist,3,Tailoring,wowtbc.gg
warlock,destruction fire,Bands of Nefarious Deeds,wrist,4,Karazhan,wowtbc.gg
warlock,destruction fire,Bands of Negation,wrist,5,Mana-Tombs (HC),wowtbc.gg
warlock,destruction fire,Shattrath Wraps,wrist,6,Quest - The Soul Devices,wowtbc.gg
warlock,destruction fire,Rockfury Bracers,wrist,7,Rep - Cenarion Circle - Revered,wowtbc.gg
warlock,destruction fire,Bracers of Arcane Accuracy,wrist,8,Blackwing Lair,wowtbc.gg
warlock,destruction fire,Anger-Spark Gloves,hands,1,World Boss,wowtbc.gg
warlock,destruction fire,Spellfire Gloves,hands,2,Tailoring,wowtbc.gg
warlock,destruction fire,Handwraps of Flowing Thought,hands,3,Karazhan,wowtbc.gg
warlock,destruction fire,Soul-Eater's Handwraps,hands,4,Magtheridon's Lair,wowtbc.gg
warlock,destruction fire,Gloves of the Deadwatcher,hands,5,Auchenai Crypts (HC),wowtbc.gg
warlock,destruction fire,Manaspark Gloves,hands,6,Underbog,wowtbc.gg
warlock,destruction fire,Gloves of Oblivion,hands,7,Shattered Halls,wowtbc.gg
warlock,destruction fire,Gloves of the Fallen Hero,hands,8,Karazhan,wowtbc.gg
warlock,destruction fire,Spellfire Belt,waist,1,Tailoring,wowtbc.gg
warlock,destruction fire,Inferno Waist Cord,waist,2,Karazhan,wowtbc.gg
warlock,destruction fire,Girdle of Ruination,waist,3,Tailoring,wowtbc.gg
warlock,destruction fire,Belt of Divine Inspiration,waist,4,Gruul's Lair,wowtbc.gg
warlock,destruction fire,Belt of Depravity,waist,5,Arcatraz (HC),wowtbc.gg
warlock,destruction fire,Glyph-Lined Sash,waist,6,Mana-Tombs (HC),wowtbc.gg
warlock,destruction fire,Malefic Girdle,waist,7,Karazhan,wowtbc.gg
warlock,destruction fire,A'dal's Gift,waist,8,Quest - How to Break Into the Arcatraz,wowtbc.gg
warlock,destruction fire,Leggings of the Seventh Circle,legs,1,World Boss,wowtbc.gg
warlock,destruction fire,Spellstrike Pants,legs,2,Tailoring,wowtbc.gg
warlock,destruction fire,Leggings of the Fallen Hero,legs,3,Gruul's Lair,wowtbc.gg
warlock,destruction fire,Trial-Fire Trousers,legs,4,Karazhan,wowtbc.gg
warlock,destruction fire,Breeches of the Occultist,legs,5,Black Morass (HC),wowtbc.gg
warlock,destruction fire,Aran's Sorcerous Slacks,legs,6,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,destruction fire,Kirin Tor Master's Trousers,legs,7,Shadow Labyrinth (HC),wowtbc.gg
warlock,destruction fire,Gilded Trousers of Benediction,legs,8,World Boss,wowtbc.gg
warlock,destruction fire,Boots of Foretelling,feet,1,Karazhan,wowtbc.gg
warlock,destruction fire,Ruby Slippers,feet,2,Karazhan,wowtbc.gg
warlock,destruction fire,Sigil-Laced Boots,feet,3,Arcatraz,wowtbc.gg
warlock,destruction fire,Extravagant Boots of Malice,feet,4,Mana-Tombs (HC),wowtbc.gg
warlock,destruction fire,Shattrath Jumpers,feet,5,Quest - Into the Heart of the Labyrinth,wowtbc.gg
warlock,destruction fire,Shimmering Azure Boots,feet,6,Quest - Securing the Celestial Ridge,wowtbc.gg
warlock,destruction fire,General's Silk Footguards,feet,7,PvP,wowtbc.gg
warlock,destruction fire,Boots of the Nexus Warden,feet,8,Quest - The Flesh Lies...,wowtbc.gg
warlock,destruction fire,Band of Crimson Fury,finger,1,Quest - The Fall of Magtheridon,wowtbc.gg
warlock,destruction fire,Ashyen's Gift,finger,2,Rep - Cenarion Expedition - Exalted,wowtbc.gg
warlock,destruction fire,Sparking Arcanite Ring,finger,3,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,destruction fire,Ring of Recurrence,finger,4,Karazhan,wowtbc.gg
warlock,destruction fire,Violet Signet of the Archmage,finger,5,Rep - The Violet Eye - Exalted,wowtbc.gg
warlock,destruction fire,Ring of the Fallen God,finger,6,Quest - The Savior of Kalimdor,wowtbc.gg
warlock,destruction fire,Band of the Inevitable,finger,7,Naxxramas,wowtbc.gg
warlock,destruction fire,Seal of the Exorcist,finger,8,Spirit Shards (50),wowtbc.gg
warlock,destruction fire,Ring of Cryptic Dreams,finger,9,Badge of Justice (25),wowtbc.gg
warlock,destruction fire,Scryer's Bloodgem,trinket,1,Rep - The Scryers - Revered,wowtbc.gg
warlock,destruction fire,Quagmirran's Eye,trinket,2,Slave Pens (HC),wowtbc.gg
warlock,destruction fire,Arcanist's Stone,trinket,3,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,destruction fire,Icon of the Silver Crescent,trinket,4,Badge of Justice (41),wowtbc.gg
warlock,destruction fire,Neltharion's Tear,trinket,5,Blackwing Lair,wowtbc.gg
warlock,destruction fire,Eye of Magtheridon,trinket,6,Magtheridon's Lair,wowtbc.gg
warlock,destruction fire,Starkiller's Bauble,trinket,7,Quest - The Horrors of Pollution,wowtbc.gg
warlock,destruction fire,The Restrained Essence of Sapphiron,trinket,8,Naxxramas,wowtbc.gg
warlock,destruction fire,Shiffar's Nexus-Horn,trinket,9,Arcatraz,wowtbc.gg
warlock,destruction fire,Talon of the Tempest,weapon,1,World Boss,wowtbc.gg
warlock,destruction fire,Bloodmaw Magus-Blade,weapon,2,Gruul's Lair,wowtbc.gg
warlock,destruction fire,Nathrezim Mindblade,weapon,3,Karazhan,wowtbc.gg
warlock,destruction fire,Gladiator's Spellblade,weapon,4,PvP,wowtbc.gg
warlock,destruction fire,Eternium Runed Blade,weapon,5,Blacksmithing,wowtbc.gg
warlock,destruction fire,Staff of Infinite Mysteries,weapon,6,Karazhan,wowtbc.gg
warlock,destruction fire,Stormcaller,weapon,7,Rep - Thrallmar - Exalted (H),wowtbc.gg
warlock,destruction fire,Blade of Wizardry,weapon,8,Auction House,wowtbc.gg
warlock,destruction fire,Jewel of Infinite Possibilities,off hand,1,Karazhan,wowtbc.gg
warlock,destruction fire,Flametongue Seal,off hand,2,Badge of Justice (25),wowtbc.gg
warlock,destruction fire,Lamp of Peaceful Radiance,off hand,3,Arcatraz,wowtbc.gg
warlock,destruction fire,Sapphiron's Left Eye,off hand,4,Naxxramas,wowtbc.gg
warlock,destruction fire,Talisman of Nightbane,off hand,5,Karazhan,wowtbc.gg
warlock,destruction fire,Khadgar's Knapsack,off hand,6,Badge of Justice (25),wowtbc.gg
warlock,destruction fire,Star-Heart Lamp,off hand,7,Black Morass,wowtbc.gg
warlock,destruction fire,Royal Scepter of Vek'lor,off hand,8,Ahn'Qiraj,wowtbc.gg
warlock,destruction fire,Tirisfal Wand of Ascendancy,ranged,1,Karazhan,wowtbc.gg
warlock,destruction fire,Eredar Wand of Obliteration,ranged,2,Magtheridon's Lair,wowtbc.gg
warlock,destruction fire,Nether Core's Control Rod,ranged,3,Arcatraz,wowtbc.gg
warlock,destruction fire,The Black Stalk,ranged,4,Underbog (HC),wowtbc.gg
warlock,destruction fire,Wand of Fates,ranged,5,Naxxramas,wowtbc.gg
warlock,destruction fire,Doomfinger,ranged,6,Naxxramas,wowtbc.gg
warlock,destruction fire,Voidfire Wand,ranged,7,Mana-Tombs,wowtbc.gg
warlock,destruction fire,Rod of Dire Shadows,ranged,8,Quest - The Will of the Warchief,wowtbc.gg
warlock,destruction,Helm of the Fallen Hero,head,1,Karazhan,wowtbc.gg
warlock,destruction,Spellstrike Hood,head,2,Tailoring,wowtbc.gg
warlock,destruction,Mana-Binders Cowl,head,3,Badge of Justice (50),wowtbc.gg
warlock,destruction,Incanter's Cowl,head,4,Mechanar,wowtbc.gg
warlock,destruction,Hood of Oblivion,head,5,Arcatraz,wowtbc.gg
warlock,destruction,Uni-Mind Headdress,head,6,Karazhan,wowtbc.gg
warlock,destruction,Hydromancer's Headwrap,head,7,Quest - The Warlord's Hideout,wowtbc.gg
warlock,destruction,Mana-Etched Crown,head,8,Black Morass,wowtbc.gg
warlock,destruction,Brooch of Unquenchable Fury,neck,1,Karazhan,wowtbc.gg
warlock,destruction,Brooch of Heightened Potential,neck,2,Shadow Labyrinth,wowtbc.gg
warlock,destruction,Hydra-fang Necklace,neck,3,Underbog (HC),wowtbc.gg
warlock,destruction,Adornment of Stolen Souls,neck,4,Karazhan,wowtbc.gg
warlock,destruction,Ritssyn's Lost Pendant,neck,5,Karazhan,wowtbc.gg
warlock,destruction,Eye of the Night,neck,6,Jewelcrafting,wowtbc.gg
warlock,destruction,Pendant of Dominance,neck,7,PvP,wowtbc.gg
warlock,destruction,Natasha's Ember Necklace,neck,8,Quest - The Hound-Master,wowtbc.gg
warlock,destruction,Pauldrons of the Fallen Hero,shoulder,1,Gruul's Lair,wowtbc.gg
warlock,destruction,Gladiator's Dreadweave Mantle,shoulder,2,PvP,wowtbc.gg
warlock,destruction,Frozen Shadoweave Shoulders,shoulder,3,Tailoring,wowtbc.gg
warlock,destruction,High Warlord's Dreadweave Mantle,shoulder,4,PvP,wowtbc.gg
warlock,destruction,Mana-Etched Spaulders,shoulder,5,Slave Pens (HC),wowtbc.gg
warlock,destruction,Mantle of Three Terrors,shoulder,6,Black Morass,wowtbc.gg
warlock,destruction,Spaulders of Oblivion,shoulder,7,Shadow Labyrinth,wowtbc.gg
warlock,destruction,Spaulders of the Torn-heart,shoulder,8,Quest - The Cipher of Damnation - The Third Fragment Recovered,wowtbc.gg
warlock,destruction,Ruby Drape of the Mysticant,back,1,Karazhan,wowtbc.gg
warlock,destruction,Ancient Spellcloak of the Highborne,back,2,World Boss,wowtbc.gg
warlock,destruction,Cloak of the Necropolis,back,3,Naxxramas,wowtbc.gg
warlock,destruction,Brute Cloak of the Ogre-Magi,back,4,Gruul's Lair,wowtbc.gg
warlock,destruction,Sethekk Oracle Cloak,back,5,Sethekk Halls,wowtbc.gg
warlock,destruction,Cloak of the Devoured,back,6,Ahn'Qiraj,wowtbc.gg
warlock,destruction,Cloak of Entropy,back,7,Auction House,wowtbc.gg
warlock,destruction,Illidari Cloak of Shadow Wrath,back,8,Auction House,wowtbc.gg
warlock,destruction,Auchenai Anchorite's Robe,chest,1,Quest - Everything Will Be Alright,wowtbc.gg
warlock,destruction,Chestguard of the Fallen Hero,chest,2,Magtheridon's Lair,wowtbc.gg
warlock,destruction,Robe of the Crimson Order,chest,3,Auction House,wowtbc.gg
warlock,destruction,Frozen Shadoweave Robe,chest,4,Tailoring,wowtbc.gg
warlock,destruction,Warp Infused Drape,chest,5,Botanica,wowtbc.gg
warlock,destruction,Gladiator's Felweave Raiment,chest,6,PvP,wowtbc.gg
warlock,destruction,Mana-Etched Vestments,chest,7,Old Hillsbrad Foothills,wowtbc.gg
warlock,destruction,Will of Edward the Odd,chest,8,Auction House,wowtbc.gg
warlock,destruction,Ravager's Cuffs of Shadow Wrath,wrist,1,Karazhan,wowtbc.gg
warlock,destruction,Crimson Bracers of Gloom,wrist,2,Ramparts (HC),wowtbc.gg
warlock,destruction,General's Silk Cuffs,wrist,3,Honor & WSG Marks,wowtbc.gg
warlock,destruction,Bracers of Havok,wrist,4,Tailoring,wowtbc.gg
warlock,destruction,Elementalist Bracelets of Shadow Wrath,wrist,5,Auction House,wowtbc.gg
warlock,destruction,Rockfury Bracers,wrist,6,Rep - Cenarion Circle - Revered,wowtbc.gg
warlock,destruction,Bands of Nefarious Deeds,wrist,7,Karazhan,wowtbc.gg
warlock,destruction,Bracers of Arcane Accuracy,wrist,8,Blackwing Lair,wowtbc.gg
warlock,destruction,Anger-Spark Gloves,hands,1,World Boss,wowtbc.gg
warlock,destruction,Handwraps of Flowing Thought,hands,2,Karazhan,wowtbc.gg
warlock,destruction,Soul-Eater's Handwraps,hands,3,Magtheridon's Lair,wowtbc.gg
warlock,destruction,Manaspark Gloves,hands,4,Underbog,wowtbc.gg
warlock,destruction,Gloves of the Deadwatcher,hands,5,Auchenai Crypts (HC),wowtbc.gg
warlock,destruction,Gloves of Oblivion,hands,6,Shattered Halls,wowtbc.gg
warlock,destruction,Gloves of Pandemonium,hands,7,Auction House,wowtbc.gg
warlock,destruction,Mana-Etched Gloves,hands,8,Ramparts (HC),wowtbc.gg
warlock,destruction,Girdle of Ruination,waist,1,Tailoring,wowtbc.gg
warlock,destruction,Belt of Divine Inspiration,waist,2,Gruul's Lair,wowtbc.gg
warlock,destruction,Belt of Depravity,waist,3,Arcatraz (HC),wowtbc.gg
warlock,destruction,Lurker's Cord of Shadow Wrath,waist,4,Karazhan,wowtbc.gg
warlock,destruction,Glyph-Lined Sash,waist,5,Mana-Tombs (HC),wowtbc.gg
warlock,destruction,Sash of Serpentra,waist,6,Steamvaults,wowtbc.gg
warlock,destruction,Malefic Girdle,waist,7,Karazhan,wowtbc.gg
warlock,destruction,A'dal's Gift,waist,8,Quest - How to Break Into the Arcatraz,wowtbc.gg
warlock,destruction,Leggings of the Seventh Circle,legs,1,World Boss,wowtbc.gg
warlock,destruction,Spellstrike Pants,legs,2,Tailoring,wowtbc.gg
warlock,destruction,Leggings of the Fallen Hero,legs,3,Gruul's Lair,wowtbc.gg
warlock,destruction,Trial-Fire Trousers,legs,4,Karazhan,wowtbc.gg
warlock,destruction,Breeches of the Occultist,legs,5,Black Morass (HC),wowtbc.gg
warlock,destruction,Aran's Sorcerous Slacks,legs,6,Old Hillsbrad Foothills (HC),wowtbc.gg
warlock,destruction,Kirin Tor Master's Trousers,legs,7,Shadow Labyrinth (HC),wowtbc.gg
warlock,destruction,Gilded Trousers of Benediction,legs,8,World Boss,wowtbc.gg
warlock,destruction,Frozen Shadoweave Boots,feet,1,Tailoring,wowtbc.gg
warlock,destruction,Ruby Slippers,feet,2,Karazhan,wowtbc.gg
warlock,destruction,Boots of Foretelling,feet,3,Karazhan,wowtbc.gg
warlock,destruction,Extravagant Boots of Malice,feet,4,Mana-Tombs (HC),wowtbc.gg
warlock,destruction,Sigil-Laced Boots,feet,5,Arcatraz,wowtbc.gg
warlock,destruction,Shimmering Azure Boots,feet,6,Quest - Securing the Celestial Ridge,wowtbc.gg
warlock,destruction,Shattrath Jumpers,feet,7,Quest - Into the Heart of the Labyrinth,wowtbc.gg
warlock,destruction,Boots of the Nexus Warden,feet,8,Quest - The Flesh Lies...,wowtbc.gg
warlock,destruction,Band of Crimson Fury,finger,1,Quest - The Fall of Magtheridon,wowtbc.gg
warlock,destruction,Ashyen's Gift,finger,2,Rep - Cenarion Expedition - Exalted,wowtbc.gg
